symbol,timestamp,open,high,low,close,volume,trade_count,vwap,rsi,label
AMZN,2024-03-21 04:00:00+00:00,179.988,181.415,178.15,178.15,32824320.0,377254.0,179.34839,59.44707575227374,1
AMZN,2024-03-22 04:00:00+00:00,177.752,179.255,176.75,178.87,27995378.0,295011.0,178.519864,60.57266377436391,1
AMZN,2024-03-25 04:00:00+00:00,178.01,180.99,177.24,179.71,29815464.0,352597.0,179.656216,61.90127879552309,1
AMZN,2024-03-26 04:00:00+00:00,180.15,180.45,177.95,178.3,29658982.0,326743.0,179.157286,58.347051898787264,0
AMZN,2024-03-27 04:00:00+00:00,179.88,180.0,177.3099,179.83,33272551.0,341921.0,179.032011,60.96610565166997,1
AMZN,2024-03-28 04:00:00+00:00,180.17,181.7,179.26,180.38,38051588.0,364803.0,180.490184,61.89368602369989,0
AMZN,2024-04-01 04:00:00+00:00,180.79,183.0,179.95,180.97,29174521.0,370612.0,180.918314,62.9118525487667,1
AMZN,2024-04-02 04:00:00+00:00,179.07,180.79,178.3762,180.69,32611546.0,355849.0,180.042411,62.06432348181144,0
AMZN,2024-04-03 04:00:00+00:00,179.9,182.87,179.8,182.41,31046638.0,350783.0,182.071907,65.16851965514724,0
AMZN,2024-04-04 04:00:00+00:00,184.0,185.1,180.0,180.0,41624261.0,465372.0,182.594795,58.00626868695883,0
AMZN,2024-04-05 04:00:00+00:00,182.38,186.27,181.97,185.07,42373992.0,465500.0,184.761716,66.37793118927178,1
AMZN,2024-04-08 04:00:00+00:00,186.9,187.29,184.81,185.19,39221282.0,427793.0,185.821377,66.54791532991219,0
AMZN,2024-04-09 04:00:00+00:00,187.24,187.34,184.2,185.67,36546946.0,400971.0,185.500226,67.26092440699843,1
AMZN,2024-04-10 04:00:00+00:00,182.765,186.2699,182.67,185.95,35879151.0,448182.0,185.078213,67.69350122583688,2
AMZN,2024-04-11 04:00:00+00:00,186.74,189.77,185.51,189.05,40020742.0,445674.0,187.949135,72.090332833497,2
